source	year	id	url	suppfile	genelist	geneerrors
genesdev	2010	/content/24/1/1.full	http://genesdev.cshlp.org/content/24/1/1.full		n	n
genesdev	2010	/content/24/1/5.full	http://genesdev.cshlp.org/content/24/1/5.full		n	n
genesdev	2010	/content/24/1/10.full	http://genesdev.cshlp.org/content/24/1/10.full		n	n
genesdev	2010	/content/24/1/15.full	http://genesdev.cshlp.org/content/24/1/15.full		n	n
genesdev	2010	/content/24/1/21.full	http://genesdev.cshlp.org/content/24/1/21.full	http://genesdev.cshlp.org/content/suppl/2009/11/13/gad.1876110.DC1/GambleSuppTables.xls	1	0
genesdev	2010	/content/24/1/33.full	http://genesdev.cshlp.org/content/24/1/33.full		n	n
genesdev	2010	/content/24/1/45.full	http://genesdev.cshlp.org/content/24/1/45.full		n	n
genesdev	2010	/content/24/1/57.full	http://genesdev.cshlp.org/content/24/1/57.full		n	n
genesdev	2010	/content/24/1/72.full	http://genesdev.cshlp.org/content/24/1/72.full		n	n
genesdev	2010	/content/24/1/86.full	http://genesdev.cshlp.org/content/24/1/86.full		n	n
genesdev	2010	/content/24/1/97.full	http://genesdev.cshlp.org/content/24/1/97.full		n	n
genesdev	2010	/content/24/2/111.full	http://genesdev.cshlp.org/content/24/2/111.full		n	n
genesdev	2010	/content/24/2/115.full	http://genesdev.cshlp.org/content/24/2/115.full		n	n
genesdev	2010	/content/24/2/123.full	http://genesdev.cshlp.org/content/24/2/123.full		n	n
genesdev	2010	/content/24/2/129.full	http://genesdev.cshlp.org/content/24/2/129.full		n	n
genesdev	2010	/content/24/2/135.full	http://genesdev.cshlp.org/content/24/2/135.full		n	n
genesdev	2010	/content/24/2/148.full	http://genesdev.cshlp.org/content/24/2/148.full		n	n
genesdev	2010	/content/24/2/159.full	http://genesdev.cshlp.org/content/24/2/159.full		n	n
genesdev	2010	/content/24/2/171.full	http://genesdev.cshlp.org/content/24/2/171.full	http://genesdev.cshlp.org/content/suppl/2009/12/30/24.2.171.DC1/Supplementary_data_Binding_files.xls	0	0
genesdev	2010	/content/24/2/183.full	http://genesdev.cshlp.org/content/24/2/183.full		n	n
genesdev	2010	/content/24/2/195.full	http://genesdev.cshlp.org/content/24/2/195.full	http://genesdev.cshlp.org/content/suppl/2009/12/30/24.2.195.DC1/HansenSuppTable1.xls	1	0
genesdev	2010	/content/24/2/195.full	http://genesdev.cshlp.org/content/24/2/195.full	http://genesdev.cshlp.org/content/suppl/2009/12/30/24.2.195.DC1/HansenSuppTable2.xls	1	1
genesdev	2010	/content/24/2/206.full	http://genesdev.cshlp.org/content/24/2/206.full		n	n
genesdev	2010	/content/24/3/219.full	http://genesdev.cshlp.org/content/24/3/219.full		n	n
genesdev	2010	/content/24/3/229.full	http://genesdev.cshlp.org/content/24/3/229.full		n	n
genesdev	2010	/content/24/3/235.full	http://genesdev.cshlp.org/content/24/3/235.full		n	n
genesdev	2010	/content/24/3/241.full	http://genesdev.cshlp.org/content/24/3/241.full		n	n
genesdev	2010	/content/24/3/256.full	http://genesdev.cshlp.org/content/24/3/256.full		n	n
genesdev	2010	/content/24/3/265.full	http://genesdev.cshlp.org/content/24/3/265.full		n	n
genesdev	2010	/content/24/3/277.full	http://genesdev.cshlp.org/content/24/3/277.full		n	n
genesdev	2010	/content/24/3/290.full	http://genesdev.cshlp.org/content/24/3/290.full		n	n
genesdev	2010	/content/24/3/301.full	http://genesdev.cshlp.org/content/24/3/301.full		n	n
genesdev	2010	/content/24/3/312.full	http://genesdev.cshlp.org/content/24/3/312.full	http://genesdev.cshlp.org/content/suppl/2010/01/08/24.3.312.DC1/NiakanSuppTableS03.xls	1	3
genesdev	2010	/content/24/3/312.full	http://genesdev.cshlp.org/content/24/3/312.full	http://genesdev.cshlp.org/content/suppl/2010/01/08/24.3.312.DC1/NiakanSuppTableS04.xls	1	0
genesdev	2010	/content/24/3/312.full	http://genesdev.cshlp.org/content/24/3/312.full	http://genesdev.cshlp.org/content/suppl/2010/01/08/24.3.312.DC1/NiakanSuppTableS05.xls	1	4
genesdev	2010	/content/24/3/312.full	http://genesdev.cshlp.org/content/24/3/312.full	http://genesdev.cshlp.org/content/suppl/2010/01/08/24.3.312.DC1/NiakanSuppTableS06.xls	1	1
genesdev	2010	/content/24/3/312.full	http://genesdev.cshlp.org/content/24/3/312.full	http://genesdev.cshlp.org/content/suppl/2010/01/08/24.3.312.DC1/NiakanSuppTableS07.xls	1	0
