source	year	id	url	suppfile	genelist	geneerrors
geo	2010	GSE21970	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21970/		n	n
geo	2010	GSE26090	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26090/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE26nnn/GSE26090//suppl/GSE26090_results.xls.gz	0	0
geo	2010	GSE26138	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26138/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE26nnn/GSE26138//suppl/GSE26138_RatioData.xls.gz	1	0
geo	2010	GSE21495	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21495/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE21nnn/GSE21495//suppl/GSE21495_BenjaminiHochberg_p-values_for_4hybridzations_ChIPchip.xls.gz	0	0
geo	2010	GSE21495	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21495/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE21nnn/GSE21495//suppl/GSE21495_ERG_genome_wide_screen_in_acute_leukemia_candidate_genes.xls.gz	0	0
geo	2010	GSE25916	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25916/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE25nnn/GSE25916//suppl/GSE25916_Compared_data.xls.gz	0	0
geo	2010	GSE11658	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11658/		n	n
geo	2010	GSE11657	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11657/		n	n
geo	2010	GSE25068	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25068/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE25nnn/GSE25068//suppl/GSE25068_Pcg_TrxG_RAW_DATA.xls.gz	1	0
geo	2010	GSE24451	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24451/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE24nnn/GSE24451//suppl/GSE24451.xls.gz	0	0
geo	2010	GSE25043	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25043/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE25nnn/GSE25043//suppl/GSE25043.xls.gz	0	0
geo	2010	GSE18845	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18845/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE18nnn/GSE18845//suppl/GSE18845_Significant_genes_TGR_vs_HO15.xls.gz	1	3
