source	year	id	url	suppfile	genelist	geneerrors
rna	2010	/content/16/1/1.full	http://rnajournal.cshlp.org/content/16/1/1.full		n	n
rna	2010	/content/16/1/10.full	http://rnajournal.cshlp.org/content/16/1/10.full		n	n
rna	2010	/content/16/1/16.full	http://rnajournal.cshlp.org/content/16/1/16.full		n	n
rna	2010	/content/16/1/26.full	http://rnajournal.cshlp.org/content/16/1/26.full		n	n
rna	2010	/content/16/1/43.full	http://rnajournal.cshlp.org/content/16/1/43.full		n	n
rna	2010	/content/16/1/57.full	http://rnajournal.cshlp.org/content/16/1/57.full		n	n
rna	2010	/content/16/1/70.full	http://rnajournal.cshlp.org/content/16/1/70.full		n	n
rna	2010	/content/16/1/79.full	http://rnajournal.cshlp.org/content/16/1/79.full		n	n
rna	2010	/content/16/1/91.full	http://rnajournal.cshlp.org/content/16/1/91.full		n	n
rna	2010	/content/16/1/106.full	http://rnajournal.cshlp.org/content/16/1/106.full		n	n
rna	2010	/content/16/1/118.full	http://rnajournal.cshlp.org/content/16/1/118.full		n	n
rna	2010	/content/16/1/131.full	http://rnajournal.cshlp.org/content/16/1/131.full		n	n
rna	2010	/content/16/1/141.full	http://rnajournal.cshlp.org/content/16/1/141.full		n	n
rna	2010	/content/16/1/154.full	http://rnajournal.cshlp.org/content/16/1/154.full		n	n
rna	2010	/content/16/1/170.full	http://rnajournal.cshlp.org/content/16/1/170.full		n	n
rna	2010	/content/16/1/186.full	http://rnajournal.cshlp.org/content/16/1/186.full		n	n
rna	2010	/content/16/1/197.full	http://rnajournal.cshlp.org/content/16/1/197.full		n	n
rna	2010	/content/16/1/211.full	http://rnajournal.cshlp.org/content/16/1/211.full		n	n
rna	2010	/content/16/1/221.full	http://rnajournal.cshlp.org/content/16/1/221.full		n	n
rna	2010	/content/16/1/228.full	http://rnajournal.cshlp.org/content/16/1/228.full		n	n
rna	2010	/content/16/1/239.full	http://rnajournal.cshlp.org/content/16/1/239.full		n	n
rna	2010	/content/16/1/251.full	http://rnajournal.cshlp.org/content/16/1/251.full		n	n
rna	2010	/content/16/2/253.full	http://rnajournal.cshlp.org/content/16/2/253.full		n	n
rna	2010	/content/16/2/259.full	http://rnajournal.cshlp.org/content/16/2/259.full		n	n
rna	2010	/content/16/2/267.full	http://rnajournal.cshlp.org/content/16/2/267.full		n	n
rna	2010	/content/16/2/274.full	http://rnajournal.cshlp.org/content/16/2/274.full		n	n
rna	2010	/content/16/2/280.full	http://rnajournal.cshlp.org/content/16/2/280.full		n	n
rna	2010	/content/16/2/290.full	http://rnajournal.cshlp.org/content/16/2/290.full		n	n
rna	2010	/content/16/2/299.full	http://rnajournal.cshlp.org/content/16/2/299.full		n	n
rna	2010	/content/16/2/307.full	http://rnajournal.cshlp.org/content/16/2/307.full		n	n
rna	2010	/content/16/2/316.full	http://rnajournal.cshlp.org/content/16/2/316.full		n	n
rna	2010	/content/16/2/324.full	http://rnajournal.cshlp.org/content/16/2/324.full		n	n
rna	2010	/content/16/2/338.full	http://rnajournal.cshlp.org/content/16/2/338.full		n	n
rna	2010	/content/16/2/349.full	http://rnajournal.cshlp.org/content/16/2/349.full		n	n
rna	2010	/content/16/2/364.full	http://rnajournal.cshlp.org/content/16/2/364.full		n	n
rna	2010	/content/16/2/375.full	http://rnajournal.cshlp.org/content/16/2/375.full		n	n
rna	2010	/content/16/2/382.full	http://rnajournal.cshlp.org/content/16/2/382.full		n	n
rna	2010	/content/16/2/394.full	http://rnajournal.cshlp.org/content/16/2/394.full	http://rnajournal.cshlp.org/content/suppl/2009/12/23/rna.1905910.DC1/Supplemental_Table.xlsx	1	54
rna	2010	/content/16/2/405.full	http://rnajournal.cshlp.org/content/16/2/405.full		n	n
rna	2010	/content/16/2/417.full	http://rnajournal.cshlp.org/content/16/2/417.full		n	n
rna	2010	/content/16/2/430.full	http://rnajournal.cshlp.org/content/16/2/430.full		n	n
rna	2010	/content/16/2/442.full	http://rnajournal.cshlp.org/content/16/2/442.full	http://rnajournal.cshlp.org/content/suppl/2009/12/04/rna.1877010.DC1/Suppl_Tables1.xls	0	0
rna	2010	/content/16/2/442.full	http://rnajournal.cshlp.org/content/16/2/442.full	http://rnajournal.cshlp.org/content/suppl/2009/12/04/rna.1877010.DC1/Suppl_Tables2.xls	1	0
rna	2010	/content/16/2/442.full	http://rnajournal.cshlp.org/content/16/2/442.full	http://rnajournal.cshlp.org/content/suppl/2009/12/04/rna.1877010.DC1/Suppl_Tables3.xls	1	0
rna	2010	/content/16/2/442.full	http://rnajournal.cshlp.org/content/16/2/442.full	http://rnajournal.cshlp.org/content/suppl/2009/12/04/rna.1877010.DC1/Suppl_Tables4.xls	1	0
rna	2010	/content/16/2/450.full	http://rnajournal.cshlp.org/content/16/2/450.full		n	n
rna	2010	/content/16/3/463.full	http://rnajournal.cshlp.org/content/16/3/463.full		n	n
rna	2010	/content/16/3/474.full	http://rnajournal.cshlp.org/content/16/3/474.full		n	n
rna	2010	/content/16/3/482.full	http://rnajournal.cshlp.org/content/16/3/482.full		n	n
rna	2010	/content/16/3/489.full	http://rnajournal.cshlp.org/content/16/3/489.full		n	n
rna	2010	/content/16/3/495.full	http://rnajournal.cshlp.org/content/16/3/495.full	http://rnajournal.cshlp.org/content/suppl/2010/01/07/rna.1731910.DC1/Mas_Monteys017319_TableS1.xls	1	0
rna	2010	/content/16/3/495.full	http://rnajournal.cshlp.org/content/16/3/495.full	http://rnajournal.cshlp.org/content/suppl/2010/01/07/rna.1731910.DC1/Mas_Monteys017319_TableS2.xls	0	0
rna	2010	/content/16/3/495.full	http://rnajournal.cshlp.org/content/16/3/495.full	http://rnajournal.cshlp.org/content/suppl/2010/01/07/rna.1731910.DC1/Mas_Monteys017319_TableS3.xls	0	0
rna	2010	/content/16/3/495.full	http://rnajournal.cshlp.org/content/16/3/495.full	http://rnajournal.cshlp.org/content/suppl/2010/01/07/rna.1731910.DC1/Mas_Monteys017319_TableS4.xls	0	0
rna	2010	/content/16/3/495.full	http://rnajournal.cshlp.org/content/16/3/495.full	http://rnajournal.cshlp.org/content/suppl/2010/01/07/rna.1731910.DC1/Mas_Monteys017319_TableS5.xls	0	0
rna	2010	/content/16/3/495.full	http://rnajournal.cshlp.org/content/16/3/495.full	http://rnajournal.cshlp.org/content/suppl/2010/01/07/rna.1731910.DC1/Mas_Monteys017319_TableS6.xls	1	0
rna	2010	/content/16/3/495.full	http://rnajournal.cshlp.org/content/16/3/495.full	http://rnajournal.cshlp.org/content/suppl/2010/01/07/rna.1731910.DC1/Mas_Monteys017319_TableS7.xls	0	0
rna	2010	/content/16/3/506.full	http://rnajournal.cshlp.org/content/16/3/506.full		n	n
rna	2010	/content/16/3/516.full	http://rnajournal.cshlp.org/content/16/3/516.full	http://rnajournal.cshlp.org/content/suppl/2010/01/19/rna.2030510.DC1/Supplementary_Table_1.xlsx	1	0
rna	2010	/content/16/3/529.full	http://rnajournal.cshlp.org/content/16/3/529.full		n	n
rna	2010	/content/16/3/538.full	http://rnajournal.cshlp.org/content/16/3/538.full		n	n
rna	2010	/content/16/3/553.full	http://rnajournal.cshlp.org/content/16/3/553.full		n	n
rna	2010	/content/16/3/563.full	http://rnajournal.cshlp.org/content/16/3/563.full		n	n
rna	2010	/content/16/3/572.full	http://rnajournal.cshlp.org/content/16/3/572.full		n	n
rna	2010	/content/16/3/585.full	http://rnajournal.cshlp.org/content/16/3/585.full		n	n
rna	2010	/content/16/3/598.full	http://rnajournal.cshlp.org/content/16/3/598.full		n	n
rna	2010	/content/16/3/610.full	http://rnajournal.cshlp.org/content/16/3/610.full		n	n
rna	2010	/content/16/3/621.full	http://rnajournal.cshlp.org/content/16/3/621.full		n	n
rna	2010	/content/16/3/632.full	http://rnajournal.cshlp.org/content/16/3/632.full		n	n
rna	2010	/content/16/3/638.full	http://rnajournal.cshlp.org/content/16/3/638.full		n	n
rna	2010	/content/16/3/647.full	http://rnajournal.cshlp.org/content/16/3/647.full		n	n
rna	2010	/content/16/4/655.full	http://rnajournal.cshlp.org/content/16/4/655.full		n	n
rna	2010	/content/16/4/664.full	http://rnajournal.cshlp.org/content/16/4/664.full		n	n
rna	2010	/content/16/4/667.full	http://rnajournal.cshlp.org/content/16/4/667.full		n	n
rna	2010	/content/16/4/673.full	http://rnajournal.cshlp.org/content/16/4/673.full		n	n
rna	2010	/content/16/4/696.full	http://rnajournal.cshlp.org/content/16/4/696.full		n	n
rna	2010	/content/16/4/708.full	http://rnajournal.cshlp.org/content/16/4/708.full		n	n
rna	2010	/content/16/4/720.full	http://rnajournal.cshlp.org/content/16/4/720.full		n	n
rna	2010	/content/16/4/732.full	http://rnajournal.cshlp.org/content/16/4/732.full		n	n
rna	2010	/content/16/4/748.full	http://rnajournal.cshlp.org/content/16/4/748.full		n	n
rna	2010	/content/16/4/762.full	http://rnajournal.cshlp.org/content/16/4/762.full		n	n
rna	2010	/content/16/4/769.full	http://rnajournal.cshlp.org/content/16/4/769.full		n	n
rna	2010	/content/16/4/781.full	http://rnajournal.cshlp.org/content/16/4/781.full	http://rnajournal.cshlp.org/content/suppl/2010/02/08/rna.1906710.DC1/Table_S1updated.xlsx	0	0
rna	2010	/content/16/4/781.full	http://rnajournal.cshlp.org/content/16/4/781.full	http://rnajournal.cshlp.org/content/suppl/2010/02/08/rna.1906710.DC1/Table_S2updated.xlsx	1	2
rna	2010	/content/16/4/781.full	http://rnajournal.cshlp.org/content/16/4/781.full	http://rnajournal.cshlp.org/content/suppl/2010/02/08/rna.1906710.DC1/Table_S3updated.xlsx	0	0
rna	2010	/content/16/4/781.full	http://rnajournal.cshlp.org/content/16/4/781.full	http://rnajournal.cshlp.org/content/suppl/2010/02/08/rna.1906710.DC1/TABLE_S4-1_Csl4_Binary_comparisons.xls	0	0
rna	2010	/content/16/4/781.full	http://rnajournal.cshlp.org/content/16/4/781.full	http://rnajournal.cshlp.org/content/suppl/2010/02/08/rna.1906710.DC1/TABLE_S4-2_Dis3_Binary_comparisons.xls	0	0
rna	2010	/content/16/4/781.full	http://rnajournal.cshlp.org/content/16/4/781.full	http://rnajournal.cshlp.org/content/suppl/2010/02/08/rna.1906710.DC1/TABLE_S4-3_Mtr3_Binary_comparisons.xls	0	0
rna	2010	/content/16/4/781.full	http://rnajournal.cshlp.org/content/16/4/781.full	http://rnajournal.cshlp.org/content/suppl/2010/02/08/rna.1906710.DC1/TABLE_S4-4_Rrp4_Binary_comparisons.xls	0	0
rna	2010	/content/16/4/781.full	http://rnajournal.cshlp.org/content/16/4/781.full	http://rnajournal.cshlp.org/content/suppl/2010/02/08/rna.1906710.DC1/TABLE_S4-5_Rrp6_Binary_comparisons.xls	0	0
